*WEATHER DATA: GGCMI

@ INSI      LAT     LONG  ELEV   TAV   AMP REFHT WNDHT
 GGCMI    -9.25    34.75   -99  22.2  13.8
@DATE  SRAD  TMIN  TMAX  RAIN
15211  15.3   7.9  19.5   0.0
15212  10.0   8.4  19.4   0.0
15213  22.6   8.1  22.1   0.0
15214  21.4   9.1  22.8   0.0
15215  14.3   9.8  21.3   0.0
15216  18.4   8.5  20.3   0.0
15217  12.9  12.1  19.1   0.1
15218  12.9  12.0  20.1   0.1
15219  18.3  10.4  22.9   0.0
15220  18.3   9.8  22.8   0.0
15221  18.2   9.9  22.6   0.0
15222  12.9  10.7  21.4   0.0
15223  16.9  10.8  23.3   0.0
15224  15.3  10.2  22.5   0.0
15225  18.7  11.2  23.3   0.0
15226  23.1   9.4  24.4   0.0
15227  22.5   9.4  24.4   0.0
15228  21.0   9.8  24.5   0.0
15229  16.1   9.8  21.9   0.0
15230  12.5  13.6  21.3   0.0
15231   9.5  13.8  18.8   0.0
15232  16.8  11.5  22.3   0.1
15233  19.2  10.0  22.9   0.0
15234  17.9  11.5  23.6   0.3
15235  21.3  10.6  23.9   0.0
15236  24.7  11.2  25.1   0.0
15237  18.6  11.7  23.9   0.0
15238  25.8   9.8  24.5   0.0
15239  18.4  12.5  23.8   0.0
15240  20.7   9.0  24.0   0.1
15241  19.2  13.2  23.9   0.0
15242  20.1  10.6  24.0   0.0
15243  18.4  12.6  24.5   0.0
15244  24.9  12.4  25.8   0.0
15245  20.7  12.5  25.7   0.0
15246  16.9  14.6  24.3   0.0
15247  15.3  13.8  23.1   0.4
15248  20.5  12.6  24.1   0.0
15249  22.9  10.1  24.3   0.0
15250  23.7  10.8  25.0   0.0
15251  24.7  11.1  25.6   0.0
15252  23.6  11.4  25.8   0.0
15253  25.7  10.1  25.4   0.0
15254  26.6  11.4  25.8   0.0
15255  24.2  10.8  25.9   0.0
15256  22.6  11.3  26.0   0.0
15257  21.1  11.8  26.5   0.0
15258  20.0  12.4  25.1   0.0
15259  13.0  12.2  22.1   0.0
15260  13.9  13.6  23.2   0.0
15261  15.3  13.5  23.9   0.1
15262  21.0  14.2  25.5   0.0
15263  24.8  13.2  26.9   0.0
15264  22.7  13.5  27.4   0.0
15265  21.3  14.4  27.2   0.0
15266  22.4  13.7  26.7   0.0
